source,fc_id,sleeper_id,name,position,team,age,value,overall_rank,position_rank,redraft_value,combined_value,trend_30_day,tier,trade_frequency
FantasyCalcAPI,5856,7564,Ja'Marr Chase,WR,CIN,25.8,10387,1,1,9326,19713,276,1,0.0089
FantasyCalcAPI,9821,9221,Jahmyr Gibbs,RB,DET,23.7,10243,2,1,9448,19691,1244,1,0.0032
FantasyCalcAPI,9833,9509,Bijan Robinson,RB,ATL,23.9,9856,3,2,9041,18897,-263,1,0.0045
FantasyCalcAPI,9924,9488,Jaxon Smith-Njigba,WR,SEA,23.8,9830,4,2,10420,20250,811,1,0.0055
FantasyCalcAPI,9822,9493,Puka Nacua,WR,LAR,24.5,8789,5,3,8556,17345,-20,2,0.0072
FantasyCalcAPI,4835,6786,CeeDee Lamb,WR,DAL,26.7,7724,6,4,7476,15200,-69,3,0.0089
FantasyCalcAPI,3046,6813,Jonathan Taylor,RB,IND,26.9,7584,7,3,9475,17059,-459,3,0.0077
FantasyCalcAPI,9969,9226,De'Von Achane,RB,MIA,24.2,7524,8,4,8842,16366,804,4,0.008
FantasyCalcAPI,1527,7547,Amon-Ra St. Brown,WR,DET,26.1,7344,9,5,7386,14730,-570,4,0.0093
FantasyCalcAPI,11702,11604,Brock Bowers,TE,LV,23.0,7139,10,1,5151,12290,17,5,0.0044
FantasyCalcAPI,7569,6794,Justin Jefferson,WR,MIN,26.5,7138,11,6,4749,11887,-1244,5,0.017
FantasyCalcAPI,11737,11632,Malik Nabers,WR,NYG,22.4,6723,12,7,0,6723,-84,6,0.0113
FantasyCalcAPI,7325,8130,Trey McBride,TE,ARI,26.1,6611,13,2,6866,13477,902,7,0.0053
FantasyCalcAPI,12612,12527,Ashton Jeanty,RB,LV,22.0,6573,14,5,4938,11511,-503,7,0.0075
FantasyCalcAPI,9929,10229,Rashee Rice,WR,KC,25.6,6295,15,8,7320,13615,294,8,0.0128
FantasyCalcAPI,998,8112,Drake London,WR,ATL,24.4,6162,16,9,5245,11407,-119,8,0.0134
FantasyCalcAPI,6170,4984,Josh Allen,QB,BUF,29.6,5918,17,1,5745,11663,-87,9,0.0045
FantasyCalcAPI,5494,4034,Christian McCaffrey,RB,SF,29.5,5917,18,6,9488,15405,-224,9,0.0142
FantasyCalcAPI,12573,12507,Omarion Hampton,RB,LAC,22.7,5807,19,7,3604,9411,164,10,0.0073
FantasyCalcAPI,182,8138,James Cook,RB,BUF,26.2,5780,20,8,6987,12767,-142,10,0.0116
FantasyCalcAPI,11779,11584,Bucky Irving,RB,TB,23.3,5373,21,9,5295,10668,190,11,0.0143
FantasyCalcAPI,12635,12526,Tetairoa McMillan,WR,CAR,22.7,5364,22,10,3262,8626,845,11,0.0076
FantasyCalcAPI,12595,12514,Emeka Egbuka,WR,TB,23.2,5285,23,11,3510,8795,-725,11,0.0092
FantasyCalcAPI,12580,12529,TreVeyon Henderson,RB,NE,23.1,5272,24,10,3646,8918,1868,11,0.0078
FantasyCalcAPI,1436,8137,George Pickens,WR,DAL,24.8,5212,25,12,6907,12119,1429,11,0.013
FantasyCalcAPI,15261,FP_2026_early_0,2026 1st (Early),PICK,,,5162,26,1,0,5162,381,11,
FantasyCalcAPI,5030,7569,Nico Collins,WR,HOU,26.7,5092,26,13,5506,10598,443,12,0.0168
FantasyCalcAPI,12592,12518,Tyler Warren,TE,IND,23.5,5008,27,3,3283,8291,73,12,0.007
FantasyCalcAPI,11696,11564,Drake Maye,QB,NE,23.3,4983,28,2,3034,8017,411,12,0.0041
FantasyCalcAPI,12632,12512,Quinshon Judkins,RB,CLE,22.1,4882,29,11,4052,8934,-338,12,0.0099
FantasyCalcAPI,7257,4866,Saquon Barkley,RB,PHI,28.8,4625,30,12,5779,10404,-733,13,0.0185
FantasyCalcAPI,11766,11635,Ladd McConkey,WR,LAC,24.1,4595,31,14,3361,7956,106,13,0.011
FantasyCalcAPI,4576,8155,Breece Hall,RB,NYJ,24.5,4466,32,13,4104,8570,-143,13,0.0132
FantasyCalcAPI,1326,5850,Josh Jacobs,RB,GB,27.8,4442,33,14,6573,11015,-275,13,0.0166
FantasyCalcAPI,6813,8146,Garrett Wilson,WR,NYJ,25.4,4382,34,15,2371,6753,-392,13,0.0198
FantasyCalcAPI,3101,4881,Lamar Jackson,QB,BAL,28.9,4376,35,3,3162,7538,-1073,13,0.0098
FantasyCalcAPI,7315,8150,Kyren Williams,RB,LAR,25.3,4280,36,15,4440,8720,-209,13,0.0138
FantasyCalcAPI,9967,9224,Chase Brown,RB,CIN,25.7,4142,37,16,4734,8876,652,14,0.0211
FantasyCalcAPI,880,4046,Patrick Mahomes,QB,KC,30.2,4054,38,4,3688,7742,-62,14,0.0059
FantasyCalcAPI,11701,11566,Jayden Daniels,QB,WAS,25.0,4047,39,5,1644,5691,175,14,0.0073
FantasyCalcAPI,11726,11631,Brian Thomas,WR,JAX,23.2,4029,40,16,1724,5753,-126,14,0.0173
FantasyCalcAPI,11734,11628,Marvin Harrison Jr,WR,ARI,23.3,4022,41,17,2103,6125,-213,14,0.0135
FantasyCalcAPI,4118,5859,A.J. Brown,WR,PHI,28.5,3938,42,18,4461,8399,215,15,0.0207
FantasyCalcAPI,11763,11620,Rome Odunze,WR,CHI,23.5,3929,43,19,1974,5903,-402,15,0.019
FantasyCalcAPI,2548,8144,Chris Olave,WR,NO,25.5,3896,44,20,4179,8075,447,15,0.0157
FantasyCalcAPI,6407,6904,Jalen Hurts,QB,PHI,27.3,3880,45,6,3948,7828,-161,15,0.0058
FantasyCalcAPI,1002,6770,Joe Burrow,QB,CIN,29.0,3716,46,7,2566,6282,384,16,0.009
FantasyCalcAPI,5531,6801,Tee Higgins,WR,CIN,26.9,3687,47,21,3206,6893,117,16,0.0145
FantasyCalcAPI,1409,7526,Jaylen Waddle,WR,MIA,27.0,3491,48,22,3632,7123,-84,17,0.0151
FantasyCalcAPI,6963,7588,Javonte Williams,RB,DAL,25.6,3456,49,17,5055,8511,-140,17,0.0146
FantasyCalcAPI,1100,8148,Jameson Williams,WR,DET,24.7,3439,50,23,2635,6074,1157,17,0.0147
FantasyCalcAPI,15262,FP_2026_mid_0,2026 1st (Mid),PICK,,,3399,51,2,0,3399,251,17,
