player_id,name,position,team,engine_value
9488,Jaxon Smith-Njigba,WR,SEA,991.8
8151,Kenneth Walker III,RB,SEA,450.7
3258,,,,248.0
7591,Justin Fields,QB,NYJ,599.0
7602,Kylen Granson,TE,PHI,361.3
11584,Bucky Irving,RB,TB,785.4
12496,Tai Felton,WR,MIN,443.6
9497,Jalin Hyatt,WR,NYG,439.4
5374,Justin Watson,WR,HOU,414.2
4464,,,,277.2
7537,Jaret Patterson,RB,LAC,355.4
11655,Tyrone Tracy Jr.,RB,NYG,365.4
9226,De'Von Achane,RB,MIA,789.0
12732,Dominic Lovett,WR,DET,416.4
8146,Garrett Wilson,WR,NYJ,690.5
4177,Mack Hollins,WR,NE,456.7
5859,A.J. Brown,WR,PHI,649.6
9757,Kendre Miller,RB,NO,464.0
9224,Chase Brown,RB,CIN,530.2
10229,Rashee Rice,WR,KC,942.4
11624,Xavier Worthy,WR,KC,585.3
8195,,,,188.4
12658,Jackson Hawes,TE,BUF,423.7
6797,Justin Herbert,QB,LAC,616.3
11635,Ladd McConkey,WR,LAC,635.1
11994,Kameron Johnson,WR,TB,440.5
11633,Jamari Thrash,WR,CLE,457.1
12486,Dillon Gabriel,QB,CLE,495.2
3163,Jared Goff,QB,DET,578.7
6011,,,,292.8
6806,J.K. Dobbins,RB,DEN,422.9
11650,Luke McCaffrey,WR,WSH,529.1
4217,George Kittle,TE,SF,533.7
11600,Ja'Tavion Sanders,TE,CAR,426.0
3200,Sterling Shepard,WR,TB,449.6
10210,Cameron Latu,TE,PHI,379.0
7571,Rashod Bateman,WR,BAL,523.1
8148,Jameson Williams,WR,DET,686.5
12527,Ashton Jeanty,RB,LV,804.6
5850,Josh Jacobs,RB,GB,659.7
2359,Ameer Abdullah,RB,IND,204.2
4066,Evan Engram,TE,DEN,366.9
10236,Dalton Kincaid,TE,BUF,563.2
7553,Kyle Pitts Sr.,TE,ATL,605.2
8698,Jake Tonges,TE,SF,433.8
7594,Chuba Hubbard,RB,CAR,382.9
3214,Hunter Henry,TE,NE,421.7
8250,Tay Martin,WR,WSH,386.0
10213,Tre Tucker,WR,LV,596.3
11564,Drake Maye,QB,NE,781.0
5127,Kyle Allen,QB,DET,295.9
7842,Luke Farrell,TE,SF,365.8
8135,Treylon Burks,WR,WSH,479.9
12490,Bhayshul Tuten,RB,JAX,538.6
8207,Tyler Goodson,RB,IND,222.1
6770,Joe Burrow,QB,CIN,542.5
11643,Jaylen Wright,RB,MIA,488.8
7757,Ben Skowronek,WR,PIT,368.7
12524,Shedeur Sanders,QB,CLE,564.6
11570,Rasheen Ali,RB,BAL,358.1
6783,Jerry Jeudy,WR,CLE,544.4
8167,Christian Watson,WR,GB,626.6
6130,Devin Singletary,RB,NYG,294.4
11510,Hunter Luepke,RB,DAL,252.8
7547,Amon-Ra St. Brown,WR,DET,905.8
11377,Tyrell Shavers,WR,BUF,435.5
3269,Chris Moore,WR,WSH,375.9
11306,Xavier Gipson,WR,PHI,412.2
10871,Luke Schoonmaker,TE,DAL,377.0
12541,Dont'e Thornton Jr.,WR,LV,458.1
4054,Mo Alie-Cox,TE,IND,262.3
11895,Mason Tipton,WR,NO,426.2
10859,Sam LaPorta,TE,DET,587.3
3161,Carson Wentz,QB,MIN,523.6
8123,Hassan Haskins,RB,LAC,175.8
11627,Troy Franklin,WR,DEN,655.3
10234,Derius Davis,WR,LAC,402.1
4035,Alvin Kamara,RB,NO,363.7
12510,Jalen Milroe,QB,SEA,339.7
7525,DeVonta Smith,WR,PHI,594.5
