player_id,name,position,team,engine_value,sf_engine_value,value_confidence,engine_value_8,sf_engine_value_8,engine_value_10,sf_engine_value_10,engine_value_12,sf_engine_value_12,engine_value_14,sf_engine_value_14
4984,Josh Allen,QB,BUF,418.3,999.9,0.352,418.3,999.9,418.3,999.9,418.3,999.9,418.3,999.9
6904,Jalen Hurts,QB,PHI,311.9,736.1,0.336,299.7,697.0,311.9,736.1,314.1,742.5,317.3,753.7
6797,Justin Herbert,QB,LAC,284.5,659.7,0.344,264.6,640.9,284.5,659.7,287.9,667.0,292.6,676.8
4046,Patrick Mahomes,QB,KC,270.0,656.3,0.353,269.3,654.6,270.0,656.3,275.2,662.4,282.0,667.3
4881,Lamar Jackson,QB,BAL,261.5,775.7,0.334,260.8,773.5,261.5,775.7,264.0,783.1,271.5,788.0
8183,Brock Purdy,QB,SF,255.3,622.9,0.35,254.6,621.1,255.3,622.9,257.9,629.1,258.7,631.2
11564,Drake Maye,QB,NE,252.3,810.8,0.358,252.3,810.8,252.3,810.8,252.3,810.8,253.5,814.5
7523,Trevor Lawrence,QB,JAX,250.5,615.3,0.356,249.7,613.2,250.5,615.3,253.4,622.3,254.4,624.7
421,Matthew Stafford,QB,LAR,246.0,590.6,0.357,246.0,590.6,246.0,590.6,246.0,590.6,246.0,590.6
3163,Jared Goff,QB,DET,242.8,586.1,0.333,242.1,584.3,242.8,586.1,245.0,591.2,246.0,593.8
6770,Joe Burrow,QB,CIN,241.5,587.1,0.331,240.6,584.9,241.5,587.1,244.6,594.6,245.7,597.1
11566,Jayden Daniels,QB,WSH,235.1,709.4,0.328,235.1,709.4,235.1,709.4,237.2,715.5,238.2,718.6
9758,C.J. Stroud,QB,HOU,234.9,726.1,0.344,234.9,726.1,234.9,726.1,234.9,726.1,235.9,729.2
6804,Jordan Love,QB,GB,234.8,573.9,0.338,234.1,572.2,234.8,573.9,238.0,581.7,239.1,584.3
7591,Justin Fields,QB,NYJ,232.9,569.0,0.351,232.2,567.3,232.9,569.0,234.8,573.8,236.2,577.1
4892,Baker Mayfield,QB,TB,229.8,556.2,0.331,229.5,555.7,229.8,556.2,232.0,561.5,233.0,563.9
5849,Kyler Murray,QB,ARI,229.4,562.9,0.33,228.9,561.6,229.4,562.9,232.7,570.9,233.8,573.5
11560,Caleb Williams,QB,CHI,229.3,751.0,0.352,229.3,751.0,229.3,751.0,229.3,751.0,229.7,752.4
4943,Sam Darnold,QB,SEA,226.7,550.0,0.322,226.1,548.6,226.7,550.0,228.9,555.4,229.9,557.8
11563,Bo Nix,QB,DEN,222.2,548.9,0.336,221.6,547.4,222.2,548.9,224.4,554.2,225.7,557.3
3294,Dak Prescott,QB,DAL,220.8,544.6,0.355,220.8,544.6,220.8,544.6,220.8,544.6,220.8,544.6
5870,Daniel Jones,QB,IND,216.8,538.1,0.35,216.8,538.1,216.8,538.1,218.1,541.1,219.1,543.7
6768,Tua Tagovailoa,QB,MIA,215.9,631.7,0.319,215.9,631.7,215.9,631.7,218.3,638.6,219.4,641.7
12508,Jaxson Dart,QB,NYG,201.2,640.8,0.35,201.2,640.8,201.2,640.8,201.2,640.8,201.2,640.8
9228,Bryce Young,QB,CAR,197.2,630.0,0.327,197.2,630.0,197.2,630.0,197.2,630.0,197.2,630.0
