sleeper_id,value_8,sf_value_8,value_10,sf_value_10,value_12,sf_value_12,value_14,sf_value_14
9221,11277,10367,11369,10451,11250,10342,11241,10334
9509,11116,10220,11206,10303,11089,10195,11080,10187
7564,9527,9553,9628,9654,9684,9710,9785,9811
9488,8600,8623,8690,8714,8741,8765,8832,8856
9493,7956,7977,8040,8061,8087,8108,8171,8192
12527,7388,6791,7448,6847,7370,6775,7364,6770
7547,7387,7407,7465,7485,7509,7529,7587,7607
13287,7213,6632,7272,6686,7196,6616,7190,6611
11604,7031,7708,7054,7733,7095,7778,7204,7898
DP_0_0,6878,7276,6791,7184,6771,7163,6701,7089
9226,6806,6257,6862,6308,6790,6242,6785,6237
6794,6666,6684,6737,6755,6776,6794,6847,6865
12507,6332,5821,6384,5868,6317,5807,6312,5802
6786,6298,6315,6365,6382,6402,6419,6469,6486
11632,6290,6307,6357,6374,6394,6411,6461,6478
6813,6004,5519,6053,5564,5990,5506,5985,5501
8130,5603,6142,5621,6162,5654,6198,5741,6293
8138,5537,5091,5582,5133,5524,5079,5519,5075
8112,5293,5308,5349,5364,5380,5395,5436,5451
4984,5154,9663,5342,10016,5519,10347,5553,10410
4034,4914,4518,4954,4554,4902,4507,4898,4503
9224,4769,4384,4808,4420,4758,4374,4754,4370
8151,4720,4339,4759,4375,4709,4329,4705,4325
8137,4692,4703,4741,4753,4769,4781,4818,4831
12517,4674,5124,4690,5141,4717,5171,4789,5250
12526,4454,4465,4501,4512,4527,4539,4574,4586
FP_2027_early_0,4405,4606,4350,4548,4337,4535,4292,4488
12514,4351,4363,4397,4409,4423,4435,4469,4481
DP_0_1,4332,4949,4278,4886,4265,4872,4221,4821
11564,4268,8004,4425,8297,4571,8571,4599,8623
13279,4232,4243,4277,4288,4302,4313,4347,4358
7569,4224,4235,4269,4280,4294,4305,4339,4350
8155,4215,3875,4249,3907,4205,3866,4201,3863
8144,4193,4205,4237,4249,4262,4274,4306,4318
