player_id,forty_yard,vertical_inches,broad_jump_in,three_cone,short_shuttle,bench_reps,speed_score,ras_score,source,updated_at
ROOKIE_2026_GERMIE_BERNARD,4.48,32.5,1005,6.71,4.31,,,,nflverse,2026-04-11 14:50:18.783
ROOKIE_2026_JAM_MILLER,4.42,30.5,907,,,,,,nflverse,2026-04-11 14:50:18.783
ROOKIE_2026_JOSH_CUEVAS,4.65,34,910,7.37,4.38,19,,,nflverse,2026-04-11 14:50:18.783
ROOKIE_2026_TY_SIMPSON,,,,,,,,,nflverse,2026-04-11 14:50:18.783
ROOKIE_2026_JORDYN_TYSON,,,,,,26,,,nflverse,2026-04-11 14:50:18.783
ROOKIE_2026_MIKE_WASHINGTON,4.33,39,1008,6.96,4.32,,,,nflverse,2026-04-11 14:50:18.783
ROOKIE_2026_TAYLEN_GREEN,4.36,43.5,1102,,,,,,nflverse,2026-04-11 14:50:18.783
ROOKIE_2026_JOSH_CAMERON,,,,,,,,,nflverse,2026-04-11 14:50:18.783
ROOKIE_2026_MICHAEL_TRIGG,,27.5,,,,,,,nflverse,2026-04-11 14:50:18.783
ROOKIE_2026_SAWYER_ROBERTSON,4.64,37.5,1003,,,,,,nflverse,2026-04-11 14:50:18.783
ROOKIE_2026_ALJAY_HENDERSON,4.51,29.5,908,5.74,4.33,23,,,nflverse,2026-04-11 14:50:18.783
ROOKIE_2026_CHASE_ROBERTS,4.64,37,1006,6.89,4.33,,,,nflverse,2026-04-11 14:50:18.783
ROOKIE_2026_JEFF_CALDWELL,4.31,42,1102,,,,,,nflverse,2026-04-11 14:50:18.783
ROOKIE_2026_JOE_ROYER,,,,,,,,,nflverse,2026-04-11 14:50:18.783
ROOKIE_2026_ADAM_RANDALL,4.5,37,1004,,4.53,26,,,nflverse,2026-04-11 14:50:18.783
ROOKIE_2026_ANTONIO_WILLIAMS,4.41,39.5,1004,7.0,4.1,10,,,nflverse,2026-04-11 14:50:18.784
ROOKIE_2026_CADE_KLUBNIK,4.7,8.3,,,,,,,nflverse,2026-04-11 14:50:18.784
ROOKIE_2026_J_STURDIVANT,4.4,39,1011,,,,,,nflverse,2026-04-11 14:50:18.784
ROOKIE_2026_COLBIE_YOUNG,4.49,33,,,,18,,,nflverse,2026-04-11 14:50:18.784
ROOKIE_2026_DILLON_BELL,4.5,39,1006,,,16,,,nflverse,2026-04-11 14:50:18.784
ROOKIE_2026_OSCAR_DELP,4.49,38,1005,,,23,,,nflverse,2026-04-11 14:50:18.784
ROOKIE_2026_ZACHARIAH_BRANCH,4.35,38,1005,,,20,,,nflverse,2026-04-11 14:50:18.784
ROOKIE_2026_NOACH_THOMAS,4.6,31,911,7.28,4.4,,,,nflverse,2026-04-11 14:50:18.784
ROOKIE_2026_TED_HURST,4.42,36.5,1103,,,,,,nflverse,2026-04-11 14:50:18.784
ROOKIE_2026_ERIC_RIVERS,4.35,37,1007,,,,,,nflverse,2026-04-11 14:50:18.784
ROOKIE_2026_HAYNES_KING,4.46,33.5,908,6.89,4.17,,,,nflverse,2026-04-11 14:50:18.784
ROOKIE_2026_JAMAL_HAYNES,4.52,36,1001,7.15,4.28,21,,,nflverse,2026-04-11 14:50:18.784
ROOKIE_2026_DEAN_CONNORS,4.45,39.5,1002,6.95,4.29,21,,,nflverse,2026-04-11 14:50:18.784
ROOKIE_2026_TANNER_KOZIOL,4.7,36.5,1002,,,,,,nflverse,2026-04-11 14:50:18.784
ROOKIE_2026_LUKE_ALTMYER,4.72,32,906,,,,,,nflverse,2026-04-11 14:50:18.784
ROOKIE_2026_JALEN_WALTHALL,4.57,35,1011,7.03,4.39,,,,nflverse,2026-04-11 14:50:18.784
ROOKIE_2026_ELIJAH_SARRATT,4.53,33.5,1004,7.01,4.38,12,,,nflverse,2026-04-11 14:50:18.784
ROOKIE_2026_FERNANDO_MENDOZA,,,,,,,,,nflverse,2026-04-11 14:50:18.784
ROOKIE_2026_OMAR_COOPER,4.47,37,,,,,,,nflverse,2026-04-11 14:50:18.784
ROOKIE_2026_RILEY_NOWAKOWSKI,4.66,33.5,911,7.43,4.61,,,,nflverse,2026-04-11 14:50:18.784
ROOKIE_2026_ROMAN_HEMBY,4.54,35.5,1005,,4.52,15,,,nflverse,2026-04-11 14:50:18.784
ROOKIE_2026_KADEN_WETJEN,4.47,35.5,,6.95,4.44,,,,nflverse,2026-04-11 14:50:18.784
ROOKIE_2026_JALON_DANIELS,4.65,,,,,,,,nflverse,2026-04-11 14:50:18.784
ROOKIE_2026_EMMANUEL_HENDERSON,4.44,35,1000,7.34,4.33,,,,nflverse,2026-04-11 14:50:18.784
ROOKIE_2026_KENDRICK_LAW,4.45,42,1008,,,21,,,nflverse,2026-04-11 14:50:18.785
ROOKIE_2026_SETH_MCGOWAN,4.49,42.5,1011,,4.5,,,,nflverse,2026-04-11 14:50:18.785
ROOKIE_2026_CAULLIN_LACY,4.55,33.5,908,,,,,,nflverse,2026-04-11 14:50:18.785
ROOKIE_2026_CHRIS_BELL,,,,,,,,,nflverse,2026-04-11 14:50:18.785
